Customer,date,Consumption Category,Time,value
1,2010-12-22,GC,0:30,0.19
1,2011-04-11,GC,0:30,0.217
1,2010-12-21,GC,0:30,0.073
1,2010-12-20,GC,0:30,0.184
1,2010-12-19,GC,0:30,0.05
1,2010-12-18,GC,0:30,0.183
1,2011-04-12,GC,0:30,0.549
1,2010-12-17,GC,0:30,0.075
1,2010-12-16,GC,0:30,0.134
1,2011-04-13,GC,0:30,0.164
1,2010-12-15,GC,0:30,0.032
1,2010-12-14,GC,0:30,0.089
1,2011-04-14,GC,0:30,0.101
1,2011-04-15,GC,0:30,0.082
1,2010-12-13,GC,0:30,0.177
1,2010-11-25,GC,0:30,0.038
1,2010-11-24,GC,0:30,0.113
1,2010-12-25,GC,0:30,0.099
1,2011-04-04,GC,0:30,0.077
1,2010-12-05,GC,0:30,0.162
1,2011-01-02,GC,0:30,0.073
1,2010-10-16,GC,0:30,0.44
1,2011-05-25,GC,0:30,0.988
1,2011-05-19,GC,0:30,0.067
1,2010-10-07,GC,0:30,0.086
1,2011-05-20,GC,0:30,1.099
1,2010-10-06,GC,0:30,0.741
1,2010-10-05,GC,0:30,0.116
1,2011-06-19,GC,0:30,0.44
1,2010-08-07,GC,0:30,0.122
1,2010-10-03,GC,0:30,0.824
1,2010-10-02,GC,0:30,0.767
1,2011-05-22,GC,0:30,0.506
1,2010-09-30,GC,0:30,0.724
1,2010-09-28,GC,0:30,0.718
1,2010-09-27,GC,0:30,1.591
1,2010-10-08,GC,0:30,0.156
1,2011-05-15,GC,0:30,0.793
1,2010-10-20,GC,0:30,0.268
1,2010-10-19,GC,0:30,0.368
1,2010-10-10,GC,0:30,0.081
1,2010-10-17,GC,0:30,0.081
1,2010-08-09,GC,0:30,0.731
1,2011-06-18,GC,0:30,0.461
1,2011-06-23,GC,0:30,0.47
1,2010-07-21,GC,0:30,1.122
1,2011-06-28,GC,0:30,0.495
1,2010-07-20,GC,0:30,1.203
1,2010-07-19,GC,0:30,0.128
1,2011-06-29,GC,0:30,0.442
1,2010-07-18,GC,0:30,0.118
1,2010-07-17,GC,0:30,0.719
1,2011-06-30,GC,0:30,0.489
1,2010-07-22,GC,0:30,0.133
1,2010-07-16,GC,0:30,0.105
1,2010-07-30,GC,0:30,0.082
1,2010-08-14,GC,0:30,0.333
1,2010-08-08,GC,0:30,0.718
1,2010-08-13,GC,0:30,0.106
1,2011-06-16,GC,0:30,0.476
1,2011-06-17,GC,0:30,1.404
1,2010-08-12,GC,0:30,0.108
1,2010-08-11,GC,0:30,0.131
1,2010-08-10,GC,0:30,0.345
1,2010-10-04,GC,0:30,0.842
1,2010-07-29,GC,0:30,0.849
1,2011-05-21,GC,0:30,0.069
1,2011-05-16,GC,0:30,1.056
1,2011-06-25,GC,0:30,1.282
1,2011-05-17,GC,0:30,0.113
1,2010-07-27,GC,0:30,0.046
1,2010-09-26,GC,0:30,1.052
1,2011-06-24,GC,0:30,0.451
1,2011-03-05,GC,0:30,0.05
1,2010-09-23,GC,0:30,0.74
1,2010-10-14,GC,0:30,0.164
1,2010-07-28,GC,0:30,0.037
1,2011-06-27,GC,0:30,0.457
1,2010-09-24,GC,0:30,0.767
1,2010-09-19,GC,0:30,0.769
1,2011-05-26,GC,0:30,0.478
1,2010-09-22,GC,0:30,0.732
1,2010-09-20,GC,0:30,0.765
1,2010-09-25,GC,0:30,1.354
1,2011-05-27,GC,0:30,1.154
1,2010-07-26,GC,0:30,0.056
1,2010-10-15,GC,0:30,0.154
1,2010-07-31,GC,0:30,0.196
1,2011-06-06,GC,0:30,0.459
1,2010-10-01,GC,0:30,0.74
1,2010-08-06,GC,0:30,0.684
1,2011-05-23,GC,0:30,1.018
1,2011-06-20,GC,0:30,1.019
1,2010-09-29,GC,0:30,0.732
1,2010-08-05,GC,0:30,0.141
1,2011-05-24,GC,0:30,0.515
1,2010-08-04,GC,0:30,0.129
1,2011-05-18,GC,0:30,0.708
1,2011-06-21,GC,0:30,0.483
1,2010-10-09,GC,0:30,0.089
1,2010-08-03,GC,0:30,0.733
1,2010-10-21,GC,0:30,0.139
1,2010-08-02,GC,0:30,0.345
1,2011-05-13,GC,0:30,0.984
1,2011-06-22,GC,0:30,1.091
1,2010-10-18,GC,0:30,0.73
1,2010-08-01,GC,0:30,0.967
1,2011-05-14,GC,0:30,0.126
1,2010-09-16,GC,0:30,1.355
1,2010-09-17,GC,0:30,0.757
1,2010-07-23,GC,0:30,0.406
1,2010-08-15,GC,0:30,0.731
1,2011-06-26,GC,0:30,0.479
1,2011-03-27,GC,0:30,0.103
1,2011-01-18,GC,0:30,0.081
1,2011-01-17,GC,0:30,0.263
1,2011-03-28,GC,0:30,0.174
1,2011-01-16,GC,0:30,0.221
1,2011-03-29,GC,0:30,0.113
1,2010-10-23,GC,0:30,0.517
1,2011-05-03,GC,0:30,0.054
1,2010-10-22,GC,0:30,0.084
1,2011-05-29,GC,0:30,1.073
1,2011-06-08,GC,0:30,0.455
1,2010-08-30,GC,0:30,0.736
1,2010-08-29,GC,0:30,1.745
1,2010-08-28,GC,0:30,0.758
1,2010-08-27,GC,0:30,0.817
1,2011-06-09,GC,0:30,0.465
1,2011-06-10,GC,0:30,0.571
1,2010-08-26,GC,0:30,0.752
1,2010-08-25,GC,0:30,0.744
1,2011-01-19,GC,0:30,0.252
1,2011-03-26,GC,0:30,0.178
1,2011-01-01,GC,0:30,0.179
1,2011-01-21,GC,0:30,0.113
1,2011-04-06,GC,0:30,0.068
1,2010-12-31,GC,0:30,0.148
1,2010-12-30,GC,0:30,0.683
1,2010-12-29,GC,0:30,0.173
1,2011-01-12,GC,0:30,0.1
1,2011-01-14,GC,0:30,0.103
1,2011-03-22,GC,0:30,0.171
1,2011-01-15,GC,0:30,0.126
1,2011-01-29,GC,0:30,0.155
1,2011-01-28,GC,0:30,0.217
1,2011-01-27,GC,0:30,0.183
1,2011-03-23,GC,0:30,0.158
1,2011-01-26,GC,0:30,0.296
1,2011-01-25,GC,0:30,0.091
1,2011-01-24,GC,0:30,0.11
1,2011-03-24,GC,0:30,0.147
1,2011-01-23,GC,0:30,0.179
1,2011-01-22,GC,0:30,0.111
1,2011-03-25,GC,0:30,0.319
1,2010-08-24,GC,0:30,0.758
1,2010-12-06,GC,0:30,0.186
1,2011-01-20,GC,0:30,0.074
1,2011-04-19,GC,0:30,0.649
1,2011-06-11,GC,0:30,0.457
1,2010-08-22,GC,0:30,0.427
1,2010-09-11,GC,0:30,1.422
1,2011-06-02,GC,0:30,0.505
1,2010-09-04,GC,0:30,1.328
1,2010-09-03,GC,0:30,0.931
1,2011-06-15,GC,0:30,0.469
1,2010-08-16,GC,0:30,0.095
